Area code;Area name;"Asian, Asian British or Asian Welsh: Bangladeshi
(number)";"Asian, Asian British or Asian Welsh: Chinese
(number)";"Asian, Asian British or Asian Welsh: Indian
(number)";"Asian, Asian British or Asian Welsh: Pakistani
(number)";"Asian, Asian British or Asian Welsh: Other Asian
(number)";"Black, Black British, Black Welsh, Caribbean or African: African
(number)";"Black, Black British, Black Welsh, Caribbean or African: Caribbean
(number)";"Black, Black British, Black Welsh, Caribbean or African: Other Black
(number)";"Mixed or Multiple ethnic groups: White and Asian
(number)";"Mixed or Multiple ethnic groups: White and Black African
(number)";"Mixed or Multiple ethnic groups: White and Black Caribbean
(number)";"Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
(number)";"White: English, Welsh, Scottish, Northern Irish or British
(number)";"White: Irish
(number)";"White: Gypsy or Irish Traveller
(number)";"White: Roma
(number)";"White: Other White
(number)";"Other ethnic group: Arab
(number)";"Other ethnic group: Any other ethnic group
(number)";Asian, Asian British or Asian Welsh: Bangladesh;Asian, Asian British or Asian Welsh: Chinese;Asian, Asian British or Asian Welsh: Indian;Asian, Asian British or Asian Welsh: Pakistani;Asian, Asian British or Asian Welsh: Other Asian;Black, Black British, Black Welsh, Caribbean or African: African;Black, Black British, Black Welsh, Caribbean or African: Caribbean;Black, Black British, Black Welsh, Caribbean or African: Other Black;Mixed or Multiple ethnic groups: White and Asian;Mixed or Multiple ethnic groups: White and Black African ;Mixed or Multiple ethnic groups: White and Black Caribbean;Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups;"White: English, Welsh, Scottish, Northern Irish or British
(percent)";"White: Irish
(percent)";"White: Gypsy or Irish Traveller
(percent)";"White: Roma
(percent)";"White: Other White
(percent)";Other ethnic group: Arab;Other ethnic group: Any other ethnic group
E06000011;East Riding of Yorkshire; 129 ; 766 ; 1.210 ; 528 ; 1.053 ; 617 ; 173 ; 104 ; 1.092 ; 547 ; 707 ; 851 ; 323.838 ; 1.063 ; 324 ; 118 ; 7.819 ; 368 ; 908 ; -   ; 0,2 ; 0,4 ; 0,2 ; 0,3 ; 0,2 ; 0,1 ; -   ; 0,3 ; 0,2 ; 0,2 ; 0,2 ; 94,6 ; 0,3 ; 0,1 ; -   ; 2,3 ; 0,1 ; 0,3 
E06000012;North East Lincolnshire; 318 ; 438 ; 543 ; 336 ; 802 ; 644 ; 98 ; 104 ; 502 ; 306 ; 377 ; 432 ; 145.362 ; 320 ; 65 ; 127 ; 5.156 ; 366 ; 671 ; 0,2 ; 0,3 ; 0,3 ; 0,2 ; 0,5 ; 0,4 ; 0,1 ; 0,1 ; 0,3 ; 0,2 ; 0,2 ; 0,3 ; 92,6 ; 0,2 ; -   ; 0,1 ; 3,3 ; 0,2 ; 0,4 
E06000013;North Lincolnshire; 1.840 ; 451 ; 1.126 ; 1.013 ; 1.192 ; 663 ; 85 ; 70 ; 717 ; 289 ; 356 ; 458 ; 150.554 ; 556 ; 168 ; 226 ; 8.548 ; 224 ; 1.148 ; 1,1 ; 0,3 ; 0,7 ; 0,6 ; 0,7 ; 0,4 ; 0,1 ; -   ; 0,4 ; 0,2 ; 0,2 ; 0,3 ; 88,7 ; 0,3 ; 0,1 ; 0,1 ; 5,0 ; 0,1 ; 0,7 
E06000014;York; 413 ; 2.889 ; 1.853 ; 545 ; 1.934 ; 978 ; 208 ; 139 ; 1.579 ; 494 ; 631 ; 1.037 ; 176.963 ; 1.317 ; 368 ; 222 ; 9.297 ; 623 ; 1.331 ; 0,2 ; 1,4 ; 0,9 ; 0,3 ; 1,0 ; 0,5 ; 0,1 ; 0,1 ; 0,8 ; 0,2 ; 0,3 ; 0,5 ; 87,3 ; 0,6 ; 0,2 ; 0,1 ; 4,6 ; 0,3 ; 0,7 
E06000015;Derby; 827 ; 1.416 ; 12.631 ; 21.034 ; 4.993 ; 6.110 ; 3.056 ; 1.316 ; 2.412 ; 924 ; 4.178 ; 2.048 ; 173.077 ; 1.982 ; 408 ; 1.163 ; 16.241 ; 1.032 ; 6.516 ; 0,3 ; 0,5 ; 4,8 ; 8,0 ; 1,9 ; 2,3 ; 1,2 ; 0,5 ; 0,9 ; 0,4 ; 1,6 ; 0,8 ; 66,2 ; 0,8 ; 0,2 ; 0,4 ; 6,2 ; 0,4 ; 2,5 
E06000016;Leicester; 7.055 ; 2.481 ; 126.421 ; 12.673 ; 11.347 ; 21.536 ; 4.466 ; 2.764 ; 3.659 ; 1.776 ; 5.025 ; 3.439 ; 122.395 ; 1.789 ; 457 ; 839 ; 25.177 ; 3.402 ; 11.870 ; 1,9 ; 0,7 ; 34,3 ; 3,4 ; 3,1 ; 5,8 ; 1,2 ; 0,7 ; 1,0 ; 0,5 ; 1,4 ; 0,9 ; 33,2 ; 0,5 ; 0,1 ; 0,2 ; 6,8 ; 0,9 ; 3,2 
E06000017;Rutland; 19 ; 149 ; 236 ; 60 ; 170 ; 251 ; 213 ; 88 ; 249 ; 93 ; 236 ; 166 ; 37.372 ; 265 ; 86 ; 18 ; 1.168 ; 13 ; 198 ; -   ; 0,4 ; 0,6 ; 0,1 ; 0,4 ; 0,6 ; 0,5 ; 0,2 ; 0,6 ; 0,2 ; 0,6 ; 0,4 ; 91,0 ; 0,6 ; 0,2 ; -   ; 2,8 ; -   ; 0,5 
E06000018;Nottingham; 2.223 ; 4.263 ; 11.515 ; 21.684 ; 8.532 ; 18.740 ; 9.339 ; 4.136 ; 3.363 ; 2.129 ; 10.129 ; 3.442 ; 185.580 ; 2.360 ; 269 ; 1.130 ; 24.091 ; 3.673 ; 7.037 ; 0,7 ; 1,3 ; 3,6 ; 6,7 ; 2,6 ; 5,8 ; 2,9 ; 1,3 ; 1,0 ; 0,7 ; 3,1 ; 1,1 ; 57,3 ; 0,7 ; 0,1 ; 0,3 ; 7,4 ; 1,1 ; 2,2 
E06000019;Herefordshire, County of; 55 ; 339 ; 843 ; 139 ; 842 ; 340 ; 150 ; 77 ; 689 ; 280 ; 473 ; 538 ; 170.419 ; 727 ; 431 ; 161 ; 9.510 ; 224 ; 795 ; -   ; 0,2 ; 0,5 ; 0,1 ; 0,5 ; 0,2 ; 0,1 ; -   ; 0,4 ; 0,1 ; 0,3 ; 0,3 ; 91,1 ; 0,4 ; 0,2 ; 0,1 ; 5,1 ; 0,1 ; 0,4 
E06000020;Telford and Wrekin; 207 ; 818 ; 4.559 ; 3.368 ; 1.115 ; 3.962 ; 748 ; 641 ; 1.315 ; 676 ; 2.083 ; 770 ; 153.936 ; 723 ; 203 ; 187 ; 8.589 ; 242 ; 1.401 ; 0,1 ; 0,4 ; 2,5 ; 1,8 ; 0,6 ; 2,1 ; 0,4 ; 0,3 ; 0,7 ; 0,4 ; 1,1 ; 0,4 ; 83,0 ; 0,4 ; 0,1 ; 0,1 ; 4,6 ; 0,1 ; 0,8 
E06000021;Stoke-on-Trent; 1.577 ; 1.073 ; 2.772 ; 15.579 ; 4.596 ; 5.048 ; 916 ; 920 ; 1.783 ; 1.020 ; 2.040 ; 1.017 ; 202.906 ; 572 ; 295 ; 428 ; 11.498 ; 690 ; 3.639 ; 0,6 ; 0,4 ; 1,1 ; 6,0 ; 1,8 ; 2,0 ; 0,4 ; 0,4 ; 0,7 ; 0,4 ; 0,8 ; 0,4 ; 78,5 ; 0,2 ; 0,1 ; 0,2 ; 4,5 ; 0,3 ; 1,4 
E06000022;Bath and North East Somerset; 359 ; 2.089 ; 1.787 ; 278 ; 1.876 ; 980 ; 616 ; 250 ; 1.846 ; 595 ; 1.505 ; 1.310 ; 165.478 ; 1.427 ; 71 ; 218 ; 11.114 ; 552 ; 1.058 ; 0,2 ; 1,1 ; 0,9 ; 0,1 ; 1,0 ; 0,5 ; 0,3 ; 0,1 ; 1,0 ; 0,3 ; 0,8 ; 0,7 ; 85,6 ; 0,7 ; -   ; 0,1 ; 5,7 ; 0,3 ; 0,5 
E06000023;Bristol, City of; 2.616 ; 5.466 ; 8.302 ; 9.064 ; 5.821 ; 18.149 ; 6.803 ; 2.938 ; 5.556 ; 2.621 ; 7.714 ; 5.225 ; 338.452 ; 4.288 ; 273 ; 966 ; 39.163 ; 2.540 ; 6.510 ; 0,6 ; 1,2 ; 1,8 ; 1,9 ; 1,2 ; 3,8 ; 1,4 ; 0,6 ; 1,2 ; 0,6 ; 1,6 ; 1,1 ; 71,6 ; 0,9 ; 0,1 ; 0,2 ; 8,3 ; 0,5 ; 1,4 
E06000024;North Somerset; 433 ; 725 ; 1.067 ; 148 ; 949 ; 733 ; 251 ; 155 ; 1.191 ; 497 ; 1.007 ; 940 ; 195.915 ; 1.210 ; 187 ; 169 ; 9.948 ; 247 ; 957 ; 0,2 ; 0,3 ; 0,5 ; 0,1 ; 0,4 ; 0,3 ; 0,1 ; 0,1 ; 0,5 ; 0,2 ; 0,5 ; 0,4 ; 90,4 ; 0,6 ; 0,1 ; 0,1 ; 4,6 ; 0,1 ; 0,4 
E06000025;South Gloucestershire; 581 ; 2.113 ; 4.867 ; 1.352 ; 2.181 ; 2.787 ; 1.219 ; 528 ; 1.953 ; 905 ; 2.711 ; 1.720 ; 249.160 ; 1.327 ; 443 ; 373 ; 13.553 ; 751 ; 1.900 ; 0,2 ; 0,7 ; 1,7 ; 0,5 ; 0,8 ; 1,0 ; 0,4 ; 0,2 ; 0,7 ; 0,3 ; 0,9 ; 0,6 ; 85,8 ; 0,5 ; 0,2 ; 0,1 ; 4,7 ; 0,3 ; 0,7 
E06000026;Plymouth; 537 ; 1.430 ; 1.403 ; 389 ; 2.188 ; 2.022 ; 460 ; 304 ; 1.349 ; 860 ; 1.108 ; 1.339 ; 236.802 ; 1.055 ; 165 ; 168 ; 10.537 ; 677 ; 1.902 ; 0,2 ; 0,5 ; 0,5 ; 0,1 ; 0,8 ; 0,8 ; 0,2 ; 0,1 ; 0,5 ; 0,3 ; 0,4 ; 0,5 ; 89,5 ; 0,4 ; 0,1 ; 0,1 ; 4,0 ; 0,3 ; 0,7 
E06000027;Torbay; 129 ; 435 ; 527 ; 162 ; 1.001 ; 264 ; 135 ; 48 ; 679 ; 288 ; 581 ; 536 ; 128.375 ; 714 ; 41 ; 78 ; 4.714 ; 136 ; 481 ; 0,1 ; 0,3 ; 0,4 ; 0,1 ; 0,7 ; 0,2 ; 0,1 ; -   ; 0,5 ; 0,2 ; 0,4 ; 0,4 ; 92,1 ; 0,5 ; -   ; 0,1 ; 3,4 ; 0,1 ; 0,3 
E06000030;Swindon; 1.403 ; 1.156 ; 17.643 ; 2.025 ; 4.946 ; 4.149 ; 1.044 ; 930 ; 1.694 ; 1.051 ; 1.972 ; 1.778 ; 173.231 ; 1.545 ; 177 ; 537 ; 14.652 ; 344 ; 3.134 ; 0,6 ; 0,5 ; 7,6 ; 0,9 ; 2,1 ; 1,8 ; 0,4 ; 0,4 ; 0,7 ; 0,5 ; 0,8 ; 0,8 ; 74,2 ; 0,7 ; 0,1 ; 0,2 ; 6,3 ; 0,1 ; 1,3 
E06000031;Peterborough; 442 ; 990 ; 7.169 ; 16.972 ; 5.228 ; 6.225 ; 1.419 ; 1.107 ; 2.021 ; 1.627 ; 1.990 ; 1.979 ; 128.353 ; 1.177 ; 551 ; 938 ; 31.562 ; 897 ; 5.023 ; 0,2 ; 0,5 ; 3,3 ; 7,9 ; 2,4 ; 2,9 ; 0,7 ; 0,5 ; 0,9 ; 0,8 ; 0,9 ; 0,9 ; 59,5 ; 0,5 ; 0,3 ; 0,4 ; 14,6 ; 0,4 ; 2,3 
E06000032;Luton; 20.630 ; 901 ; 12.096 ; 41.143 ; 8.555 ; 11.774 ; 8.216 ; 2.745 ; 2.429 ; 1.268 ; 3.486 ; 2.437 ; 71.532 ; 4.570 ; 238 ; 808 ; 24.650 ; 2.106 ; 5.677 ; 9,2 ; 0,4 ; 5,4 ; 18,3 ; 3,8 ; 5,2 ; 3,6 ; 1,2 ; 1,1 ; 0,6 ; 1,5 ; 1,1 ; 31,8 ; 2,0 ; 0,1 ; 0,4 ; 10,9 ; 0,9 ; 2,5 
E06000033;Southend-on-Sea; 1.615 ; 1.170 ; 2.828 ; 1.765 ; 2.486 ; 3.590 ; 839 ; 724 ; 1.527 ; 1.045 ; 1.580 ; 1.401 ; 147.442 ; 1.569 ; 106 ; 241 ; 8.721 ; 402 ; 1.634 ; 0,9 ; 0,6 ; 1,6 ; 1,0 ; 1,4 ; 2,0 ; 0,5 ; 0,4 ; 0,8 ; 0,6 ; 0,9 ; 0,8 ; 81,6 ; 0,9 ; 0,1 ; 0,1 ; 4,8 ; 0,2 ; 0,9 
E06000034;Thurrock; 2.502 ; 997 ; 3.982 ; 2.145 ; 2.579 ; 16.171 ; 2.174 ; 2.532 ; 1.099 ; 1.115 ; 1.693 ; 1.345 ; 116.430 ; 993 ; 428 ; 322 ; 16.811 ; 369 ; 2.306 ; 1,4 ; 0,6 ; 2,3 ; 1,2 ; 1,5 ; 9,2 ; 1,2 ; 1,4 ; 0,6 ; 0,6 ; 1,0 ; 0,8 ; 66,2 ; 0,6 ; 0,2 ; 0,2 ; 9,6 ; 0,2 ; 1,3 
E06000035;Medway; 1.962 ; 1.273 ; 7.693 ; 2.125 ; 3.431 ; 11.266 ; 2.552 ; 1.905 ; 2.158 ; 1.394 ; 2.425 ; 1.882 ; 218.953 ; 1.866 ; 749 ; 469 ; 13.710 ; 452 ; 3.508 ; 0,7 ; 0,5 ; 2,7 ; 0,8 ; 1,2 ; 4,0 ; 0,9 ; 0,7 ; 0,8 ; 0,5 ; 0,9 ; 0,7 ; 78,3 ; 0,7 ; 0,3 ; 0,2 ; 4,9 ; 0,2 ; 1,3 
E06000036;Bracknell Forest; 219 ; 828 ; 3.774 ; 947 ; 3.111 ; 2.072 ; 554 ; 367 ; 1.337 ; 565 ; 970 ; 971 ; 96.950 ; 1.038 ; 161 ; 164 ; 8.956 ; 310 ; 1.311 ; 0,2 ; 0,7 ; 3,0 ; 0,8 ; 2,5 ; 1,7 ; 0,4 ; 0,3 ; 1,1 ; 0,5 ; 0,8 ; 0,8 ; 77,8 ; 0,8 ; 0,1 ; 0,1 ; 7,2 ; 0,2 ; 1,1 
E06000037;West Berkshire; 398 ; 801 ; 3.087 ; 658 ; 1.046 ; 1.095 ; 627 ; 308 ; 1.274 ; 501 ; 1.054 ; 1.028 ; 138.253 ; 1.404 ; 190 ; 158 ; 8.379 ; 279 ; 907 ; 0,2 ; 0,5 ; 1,9 ; 0,4 ; 0,6 ; 0,7 ; 0,4 ; 0,2 ; 0,8 ; 0,3 ; 0,7 ; 0,6 ; 85,6 ; 0,9 ; 0,1 ; 0,1 ; 5,2 ; 0,2 ; 0,6 
E06000038;Reading; 1.132 ; 2.694 ; 10.777 ; 8.279 ; 7.959 ; 7.665 ; 3.293 ; 1.574 ; 2.117 ; 1.249 ; 3.555 ; 2.041 ; 93.167 ; 2.040 ; 107 ; 573 ; 20.999 ; 1.282 ; 3.720 ; 0,6 ; 1,5 ; 6,2 ; 4,8 ; 4,6 ; 4,4 ; 1,9 ; 0,9 ; 1,2 ; 0,7 ; 2,0 ; 1,2 ; 53,5 ; 1,2 ; 0,1 ; 0,3 ; 12,1 ; 0,7 ; 2,1 
E06000039;Slough; 910 ; 594 ; 30.209 ; 34.317 ; 8.063 ; 7.815 ; 2.771 ; 1.406 ; 1.945 ; 824 ; 1.854 ; 1.688 ; 38.101 ; 1.143 ; 237 ; 357 ; 17.296 ; 1.826 ; 7.144 ; 0,6 ; 0,4 ; 19,1 ; 21,7 ; 5,1 ; 4,9 ; 1,7 ; 0,9 ; 1,2 ; 0,5 ; 1,2 ; 1,1 ; 24,0 ; 0,7 ; 0,1 ; 0,2 ; 10,9 ; 1,2 ; 4,5 
E06000040;Windsor and Maidenhead; 405 ; 1.329 ; 9.823 ; 6.177 ; 2.338 ; 1.433 ; 628 ; 297 ; 2.195 ; 617 ; 926 ; 1.500 ; 105.991 ; 2.176 ; 287 ; 197 ; 13.900 ; 816 ; 2.462 ; 0,3 ; 0,9 ; 6,4 ; 4,0 ; 1,5 ; 0,9 ; 0,4 ; 0,2 ; 1,4 ; 0,4 ; 0,6 ; 1,0 ; 69,1 ; 1,4 ; 0,2 ; 0,1 ; 9,1 ; 0,5 ; 1,6 
E06000041;Wokingham; 388 ; 2.392 ; 12.412 ; 5.241 ; 2.435 ; 2.914 ; 864 ; 528 ; 2.212 ; 667 ; 1.304 ; 1.391 ; 129.087 ; 1.504 ; 331 ; 179 ; 10.750 ; 948 ; 1.955 ; 0,2 ; 1,3 ; 7,0 ; 3,0 ; 1,4 ; 1,6 ; 0,5 ; 0,3 ; 1,2 ; 0,4 ; 0,7 ; 0,8 ; 72,7 ; 0,8 ; 0,2 ; 0,1 ; 6,1 ; 0,5 ; 1,1 
E06000042;Milton Keynes; 3.189 ; 2.913 ; 15.348 ; 7.163 ; 7.032 ; 21.502 ; 2.975 ; 3.374 ; 2.973 ; 2.551 ; 2.997 ; 3.204 ; 178.568 ; 2.382 ; 156 ; 578 ; 24.430 ; 1.349 ; 4.376 ; 1,1 ; 1,0 ; 5,3 ; 2,5 ; 2,4 ; 7,5 ; 1,0 ; 1,2 ; 1,0 ; 0,9 ; 1,0 ; 1,1 ; 62,2 ; 0,8 ; 0,1 ; 0,2 ; 8,5 ; 0,5 ; 1,5 
E06000043;Brighton and Hove; 1.729 ; 3.065 ; 3.633 ; 929 ; 3.861 ; 3.949 ; 988 ; 521 ; 4.198 ; 2.334 ; 2.410 ; 4.286 ; 204.831 ; 3.944 ; 197 ; 787 ; 26.812 ; 3.049 ; 5.580 ; 0,6 ; 1,1 ; 1,3 ; 0,3 ; 1,4 ; 1,4 ; 0,4 ; 0,2 ; 1,5 ; 0,8 ; 0,9 ; 1,5 ; 73,9 ; 1,4 ; 0,1 ; 0,3 ; 9,7 ; 1,1 ; 2,0 
E06000044;Portsmouth; 4.742 ; 2.116 ; 3.104 ; 603 ; 3.805 ; 5.369 ; 950 ; 751 ; 1.540 ; 1.244 ; 1.176 ; 1.527 ; 161.664 ; 1.066 ; 118 ; 324 ; 14.105 ; 1.007 ; 2.790 ; 2,3 ; 1,0 ; 1,5 ; 0,3 ; 1,8 ; 2,6 ; 0,5 ; 0,4 ; 0,7 ; 0,6 ; 0,6 ; 0,7 ; 77,7 ; 0,5 ; 0,1 ; 0,2 ; 6,8 ; 0,5 ; 1,3 
E06000045;Southampton; 2.064 ; 4.149 ; 9.169 ; 4.248 ; 6.784 ; 5.627 ; 1.103 ; 809 ; 2.444 ; 1.535 ; 2.173 ; 2.157 ; 169.481 ; 1.643 ; 340 ; 578 ; 28.787 ; 1.311 ; 4.518 ; 0,8 ; 1,7 ; 3,7 ; 1,7 ; 2,7 ; 2,3 ; 0,4 ; 0,3 ; 1,0 ; 0,6 ; 0,9 ; 0,9 ; 68,1 ; 0,7 ; 0,1 ; 0,2 ; 11,6 ; 0,5 ; 1,8 
E06000046;Isle of Wight; 153 ; 250 ; 316 ; 98 ; 846 ; 296 ; 128 ; 54 ; 584 ; 207 ; 497 ; 432 ; 131.697 ; 830 ; 67 ; 75 ; 3.550 ; 88 ; 291 ; 0,1 ; 0,2 ; 0,2 ; 0,1 ; 0,6 ; 0,2 ; 0,1 ; -   ; 0,4 ; 0,1 ; 0,4 ; 0,3 ; 93,8 ; 0,6 ; -   ; 0,1 ; 2,5 ; 0,1 ; 0,2 
E06000047;County Durham; 300 ; 2.838 ; 2.148 ; 730 ; 1.818 ; 1.202 ; 284 ; 254 ; 1.962 ; 914 ; 906 ; 1.167 ; 494.638 ; 1.384 ; 798 ; 157 ; 8.494 ; 825 ; 1.248 ; 0,1 ; 0,5 ; 0,4 ; 0,1 ; 0,3 ; 0,2 ; 0,1 ; -   ; 0,4 ; 0,2 ; 0,2 ; 0,2 ; 94,7 ; 0,3 ; 0,2 ; -   ; 1,6 ; 0,2 ; 0,2 
E06000049;Cheshire East; 626 ; 1.543 ; 3.480 ; 1.437 ; 2.445 ; 1.472 ; 608 ; 342 ; 2.473 ; 884 ; 1.952 ; 1.750 ; 357.337 ; 2.559 ; 345 ; 418 ; 15.884 ; 709 ; 2.508 ; 0,2 ; 0,4 ; 0,9 ; 0,4 ; 0,6 ; 0,4 ; 0,2 ; 0,1 ; 0,6 ; 0,2 ; 0,5 ; 0,4 ; 89,6 ; 0,6 ; 0,1 ; 0,1 ; 4,0 ; 0,2 ; 0,6 
E06000050;Cheshire West and Chester; 742 ; 1.337 ; 2.338 ; 656 ; 2.158 ; 1.515 ; 373 ; 219 ; 1.961 ; 904 ; 1.181 ; 1.245 ; 325.620 ; 2.651 ; 354 ; 221 ; 11.515 ; 595 ; 1.564 ; 0,2 ; 0,4 ; 0,7 ; 0,2 ; 0,6 ; 0,4 ; 0,1 ; 0,1 ; 0,5 ; 0,3 ; 0,3 ; 0,3 ; 91,2 ; 0,7 ; 0,1 ; 0,1 ; 3,2 ; 0,2 ; 0,4 
